neuron_id,epoch,start_ms,end_ms,pearson_r_vm_fr,n_samples
10,excitatory_1200_1300,1200,1300,0.9232333769169699,101
10,post_baseline,1301,1999,0.9031171755842474,699
11,pre_baseline,0,499,0.8474046139591749,500
11,inhibitory_500_700,500,700,0.8072272631991857,201
11,mid_baseline,701,1199,0.828091895079667,499
11,excitatory_1200_1300,1200,1300,0.7993832709426055,101
11,post_baseline,1301,1999,0.8313746917840107,699
12,pre_baseline,0,499,0.9202936992599484,500
12,inhibitory_500_700,500,700,0.9496149819384564,201
12,mid_baseline,701,1199,0.9151149446258356,499
12,excitatory_1200_1300,1200,1300,-0.005047146012405993,101
12,post_baseline,1301,1999,0.9236712052925109,699
13,pre_baseline,0,499,0.775126302764516,500
13,inhibitory_500_700,500,700,0.831851122740906,201
13,mid_baseline,701,1199,0.7869356056417108,499
13,excitatory_1200_1300,1200,1300,0.6760994407531192,101
13,post_baseline,1301,1999,0.8035772999146026,699
14,pre_baseline,0,499,0.8490762578575723,500
14,inhibitory_500_700,500,700,0.8951173310204716,201
14,mid_baseline,701,1199,0.8390147266124399,499
14,excitatory_1200_1300,1200,1300,0.07435990152352127,101
14,post_baseline,1301,1999,0.8392457219520308,699
15,pre_baseline,0,499,0.7493252298801801,500
15,inhibitory_500_700,500,700,0.774021027349168,201
15,mid_baseline,701,1199,0.7522455209190723,499
15,excitatory_1200_1300,1200,1300,0.23424211782032975,101
15,post_baseline,1301,1999,0.7222640501729344,699
16,pre_baseline,0,499,0.8454855514618979,500
16,inhibitory_500_700,500,700,0.8796618572081246,201
16,mid_baseline,701,1199,0.8320286833869006,499
16,excitatory_1200_1300,1200,1300,0.8010317330713634,101
16,post_baseline,1301,1999,0.8556288300551496,699
17,pre_baseline,0,499,0.8765755343502595,500
17,inhibitory_500_700,500,700,0.9153349977450772,201
17,mid_baseline,701,1199,0.889627285509944,499
17,excitatory_1200_1300,1200,1300,0.8976288172226597,101
17,post_baseline,1301,1999,0.8801255255032412,699
18,pre_baseline,0,499,0.7955244412451049,500
18,inhibitory_500_700,500,700,0.8424104194520484,201
18,mid_baseline,701,1199,0.835111299570118,499
18,excitatory_1200_1300,1200,1300,0.818312373570474,101
18,post_baseline,1301,1999,0.8069371642867168,699
19,pre_baseline,0,499,0.670303298318847,500
19,inhibitory_500_700,500,700,0.7888013366960193,201
19,mid_baseline,701,1199,0.7458257340468988,499
19,excitatory_1200_1300,1200,1300,0.3315395474839745,101
19,post_baseline,1301,1999,0.6933704695403992,699
20,pre_baseline,0,499,0.8651120742567147,500
20,inhibitory_500_700,500,700,0.9071118428742603,201
20,mid_baseline,701,1199,0.8629583449359056,499
20,excitatory_1200_1300,1200,1300,0.8329384773466559,101
20,post_baseline,1301,1999,0.864362371497825,699
21,pre_baseline,0,499,0.7801258709874187,500
21,inhibitory_500_700,500,700,0.83289976344435,201
21,mid_baseline,701,1199,0.8393029120643094,499
21,excitatory_1200_1300,1200,1300,0.5333879809946185,101
21,post_baseline,1301,1999,0.8381055751869961,699
22,pre_baseline,0,499,0.8877320631234356,500
22,inhibitory_500_700,500,700,0.8872008724407585,201
22,mid_baseline,701,1199,0.8871100884152611,499
22,excitatory_1200_1300,1200,1300,0.9093792430513555,101
22,post_baseline,1301,1999,0.8800246027019935,699
23,pre_baseline,0,499,0.8652476784758611,500
23,inhibitory_500_700,500,700,0.901790976527881,201
23,mid_baseline,701,1199,0.8577154351237197,499
23,excitatory_1200_1300,1200,1300,0.8649911629952077,101
23,post_baseline,1301,1999,0.858502483417219,699
24,pre_baseline,0,499,0.9009892259847954,500
24,inhibitory_500_700,500,700,0.915389822417514,201
24,mid_baseline,701,1199,0.9064821224659483,499
24,excitatory_1200_1300,1200,1300,0.9096877755792708,101
24,post_baseline,1301,1999,0.8886351233167169,699
25,pre_baseline,0,499,0.8619622769450375,500
25,inhibitory_500_700,500,700,0.8956140329993016,201
25,mid_baseline,701,1199,0.8286825556117343,499
25,excitatory_1200_1300,1200,1300,0.9039413360551075,101
25,post_baseline,1301,1999,0.8677754240632558,699
26,pre_baseline,0,499,0.74964074137216,500
26,inhibitory_500_700,500,700,0.7849232185215077,201
26,mid_baseline,701,1199,0.7603115741971288,499
26,excitatory_1200_1300,1200,1300,0.8562436602653376,101
26,post_baseline,1301,1999,0.7216921626524061,699
27,pre_baseline,0,499,0.9002646857324588,500
27,inhibitory_500_700,500,700,0.9328472255330036,201
27,mid_baseline,701,1199,0.8824890491961809,499
27,excitatory_1200_1300,1200,1300,0.9565737389394743,101
27,post_baseline,1301,1999,0.8985307374874938,699
28,pre_baseline,0,499,0.805052310085275,500
28,inhibitory_500_700,500,700,0.6819363232875774,201
28,mid_baseline,701,1199,0.8175831546684926,499
28,excitatory_1200_1300,1200,1300,0.9172532107143893,101
28,post_baseline,1301,1999,0.8224625452984504,699
29,pre_baseline,0,499,0.9265619149504308,500
29,inhibitory_500_700,500,700,0.8893368200246348,201
29,mid_baseline,701,1199,0.9296718079001035,499
29,excitatory_1200_1300,1200,1300,0.9606768927854731,101
29,post_baseline,1301,1999,0.9273837614210003,699
30,pre_baseline,0,499,0.8323251343204676,500
30,inhibitory_500_700,500,700,0.8888555593845373,201
30,mid_baseline,701,1199,0.8267722712819328,499
30,excitatory_1200_1300,1200,1300,0.9041861662802743,101
30,post_baseline,1301,1999,0.8492755241333559,699
31,pre_baseline,0,499,0.8988313341618213,500
31,inhibitory_500_700,500,700,0.9208760702628831,201
31,mid_baseline,701,1199,0.9062475222318679,499
31,excitatory_1200_1300,1200,1300,0.9412298020204022,101
31,post_baseline,1301,1999,0.8929243347916263,699
32,pre_baseline,0,499,0.8831446145681979,500
32,inhibitory_500_700,500,700,0.8920337827274629,201
32,mid_baseline,701,1199,0.8670099184428812,499
32,excitatory_1200_1300,1200,1300,0.9740289656874006,101
32,post_baseline,1301,1999,0.8748993547939257,699
