neuron_id,base_vm_rest_mV,vm_gain_mV,fr_gain,phase0_rad,freq_hz,ar_phi,ar_noise_std,vm_obs_noise_std,syn_noise_std,phase_jitter_std,refractory_smooth,max_fr_hz,artifact_dropout_prob,artifact_clamp_prob,perturb_window_ms,perturb_scale,perturb_strength_vm,perturb_strength_fr_fraction,perturb_syn_delta
15,-64.21921624182224,15.917318967205874,0.2784162164267708,4.297013324269937,3.9328974728095822,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.6366927586882349,-3.8201565521294096,0.38201565521294095,-0.00254677103475294
16,-64.86049155531651,24.38603355500641,0.22016100512733802,4.670292542798716,5.757076921626321,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.9754413422002564,-5.852648053201538,0.5852648053201538,-0.0039017653688010255
17,-66.40083143978839,29.62637053033407,0.30279264050138394,5.96912978364685,5.030764921862778,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.185054821213363,-7.110328927280177,0.7110328927280177,-0.004740219284853452
18,-62.99288204570996,20.317671470798054,0.2964568492768474,0.1432061681196891,3.563666338022077,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8127068588319222,-4.876241152991533,0.4876241152991533,-0.003250827435327689
19,-65.07060605943272,16.270172380611513,0.2402097928636786,5.610526180243181,4.5733351229968715,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.6508068952244606,-3.9048413713467633,0.39048413713467633,-0.0026032275808978425
20,-66.47190053538124,27.436123868734427,0.2920419437119331,0.03927038459606569,5.563079894814415,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.097444954749377,-6.584669728496262,0.6584669728496262,-0.004389779818997508
21,-60.76054721093413,19.986950983038543,0.09489424891941609,4.563359117209866,4.92443005908714,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.7994780393215417,-4.79686823592925,0.479686823592925,-0.003197912157286167
22,-65.90278291921193,30.09774804224365,0.23659795013575918,0.6418198661308212,4.2856490770899365,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.203909921689746,-7.223459530138475,0.7223459530138475,-0.004815639686758984
23,-60.650238974751474,22.177078813573043,0.17953358328597102,3.7689050843275598,6.182991842872888,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8870831525429217,-5.32249891525753,0.532249891525753,-0.003548332610171687
24,-66.37485890952432,33.13948053867536,0.24268882232099162,1.5765902152740068,5.456649771033151,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.3255792215470144,-7.953475329282086,0.7953475329282086,-0.0053023168861880575
25,-65.8886542736334,26.555103784384173,0.22821050586331906,4.10744706027015,5.365131307393313,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.0622041513753668,-6.373224908252201,0.6373224908252201,-0.004248816605501467
26,-67.94090581623784,20.212260806717758,0.2643542566280901,5.838985354956431,4.2753826191121815,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8084904322687103,-4.850942593612261,0.4850942593612262,-0.0032339617290748413
27,-63.67837310849304,31.20639015089731,0.20958005498840326,1.8074443556600548,4.749652233542698,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.2482556060358925,-7.489533636215355,0.7489533636215354,-0.00499302242414357
28,-65.8878262666142,22.51578057427455,0.2325291617382882,2.0236851846916895,3.9998384948288734,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.9006312229709821,-5.403787337825893,0.5403787337825893,-0.0036025248918839284
29,-55.711568230892546,31.69583832719486,0.18463724589385588,4.071944684031775,4.392078298269132,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.2678335330877943,-7.607001198526766,0.7607001198526766,-0.005071334132351177
30,-62.47836951830301,20.961724620599515,0.3269858190806777,1.1184169430323752,5.864394688948683,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,0.8384689848239806,-5.030813908943884,0.5030813908943883,-0.0033538759392959224
31,-63.655704849848945,31.41812475579695,0.2559916753836681,3.000583964802026,8.02457759963043,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.256724990231878,-7.540349941391268,0.7540349941391268,-0.0050268999609275125
32,-62.71134719545063,25.898787241051437,0.3075487586128113,4.892644384116286,4.373145330394974,0.95,0.5,0.8,0.006,0.04,0.7,60.0,0.25,0.25,500–700,1.0359514896420574,-6.2157089378523445,0.6215708937852344,-0.0041438059585682295
